_id,REGION,LOCATION,PLANT,LINE,MODEL,OPERATOR,DEVICEID,PARAMETER,DATA
ObjectId(5b22305830d0fb1c1e0261b5),tn,hosur,p1,l1,m1,op1,d1,temp,1
ObjectId(5b22305a30d0fb1c1e0261b6),tn,hosur,p1,l1,m1,op1,d1,temp,2
ObjectId(5b22305b30d0fb1c1e0261b7),tn,hosur,p1,l1,m1,op1,d1,temp,4
ObjectId(5b22305c30d0fb1c1e0261b8),tn,hosur,p1,l1,m1,op1,d1,temp,5
ObjectId(5b22306030d0fb1c1e0261b9),tn,hosur,p1,l1,m1,op1,d1,temp,6
ObjectId(5b22306030d0fb1c1e0261ba),tn,hosur,p1,l1,m1,op1,d1,temp,9
ObjectId(5b22306130d0fb1c1e0261bb),tn,hosur,p1,l1,m1,op1,d1,temp,10
ObjectId(5b22306230d0fb1c1e0261bc),tn,hosur,p1,l1,m1,op1,d1,temp,11
ObjectId(5b22306430d0fb1c1e0261bd),tn,hosur,p1,l1,m1,op1,d1,temp,12
ObjectId(5b22306430d0fb1c1e0261be),tn,hosur,p1,l1,m1,op1,d1,temp,13
ObjectId(5b22306530d0fb1c1e0261bf),tn,hosur,p1,l1,m1,op1,d1,temp,14
ObjectId(5b22306630d0fb1c1e0261c0),tn,hosur,p1,l1,m1,op1,d1,temp,15
ObjectId(5b22306730d0fb1c1e0261c1),tn,hosur,p1,l1,m1,op1,d1,temp,16
ObjectId(5b22306830d0fb1c1e0261c2),tn,hosur,p1,l1,m1,op1,d1,temp,17
ObjectId(5b22306930d0fb1c1e0261c3),tn,hosur,p1,l1,m1,op1,d1,temp,18
ObjectId(5b22306a30d0fb1c1e0261c4),tn,hosur,p1,l1,m1,op1,d1,temp,19
ObjectId(5b22306b30d0fb1c1e0261c5),tn,hosur,p1,l1,m1,op1,d1,temp,20
ObjectId(5b22306c30d0fb1c1e0261c6),tn,hosur,p1,l1,m1,op1,d1,temp,21
ObjectId(5b22306d30d0fb1c1e0261c7),tn,hosur,p1,l1,m1,op1,d1,temp,22
ObjectId(5b22306e30d0fb1c1e0261c8),tn,hosur,p1,l1,m1,op1,d1,temp,23
ObjectId(5b22306f30d0fb1c1e0261c9),tn,hosur,p1,l1,m1,op1,d1,temp,24
ObjectId(5b22307030d0fb1c1e0261ca),tn,hosur,p1,l1,m1,op1,d1,temp,25
ObjectId(5b22307130d0fb1c1e0261cb),tn,hosur,p1,l1,m1,op1,d1,temp,26
ObjectId(5b22307230d0fb1c1e0261cc),tn,hosur,p1,l1,m1,op1,d1,temp,27
ObjectId(5b22307330d0fb1c1e0261cd),tn,hosur,p1,l1,m1,op1,d1,temp,28
ObjectId(5b22307430d0fb1c1e0261ce),tn,hosur,p1,l1,m1,op1,d1,temp,29
ObjectId(5b22307530d0fb1c1e0261cf),tn,hosur,p1,l1,m1,op1,d1,temp,30
ObjectId(5b22307630d0fb1c1e0261d0),tn,hosur,p1,l1,m1,op1,d1,temp,31
ObjectId(5b22307730d0fb1c1e0261d1),tn,hosur,p1,l1,m1,op1,d1,temp,32
ObjectId(5b22307830d0fb1c1e0261d2),tn,hosur,p1,l1,m1,op1,d1,temp,33
ObjectId(5b22307930d0fb1c1e0261d3),tn,hosur,p1,l1,m1,op1,d1,temp,34
ObjectId(5b22307a30d0fb1c1e0261d4),tn,hosur,p1,l1,m1,op1,d1,temp,35
ObjectId(5b22307b30d0fb1c1e0261d5),tn,hosur,p1,l1,m1,op1,d1,temp,36
ObjectId(5b22307c30d0fb1c1e0261d6),tn,hosur,p1,l1,m1,op1,d1,temp,37
ObjectId(5b22307d30d0fb1c1e0261d7),tn,hosur,p1,l1,m1,op1,d1,temp,38
ObjectId(5b22307e30d0fb1c1e0261d8),tn,hosur,p1,l1,m1,op1,d1,temp,39
ObjectId(5b22307f30d0fb1c1e0261d9),tn,hosur,p1,l1,m1,op1,d1,temp,40
ObjectId(5b22308030d0fb1c1e0261da),tn,hosur,p1,l1,m1,op1,d1,temp,41
ObjectId(5b22308130d0fb1c1e0261db),tn,hosur,p1,l1,m1,op1,d1,temp,42
ObjectId(5b22308230d0fb1c1e0261dc),tn,hosur,p1,l1,m1,op1,d1,temp,43
ObjectId(5b22308330d0fb1c1e0261dd),tn,hosur,p1,l1,m1,op1,d1,temp,44
ObjectId(5b22308430d0fb1c1e0261de),tn,hosur,p1,l1,m1,op1,d1,temp,45
ObjectId(5b22308530d0fb1c1e0261df),tn,hosur,p1,l1,m1,op1,d1,temp,46
ObjectId(5b22308630d0fb1c1e0261e0),tn,hosur,p1,l1,m1,op1,d1,temp,47
ObjectId(5b22308730d0fb1c1e0261e1),tn,hosur,p1,l1,m1,op1,d1,temp,48
ObjectId(5b22308830d0fb1c1e0261e2),tn,hosur,p1,l1,m1,op1,d1,temp,49
ObjectId(5b22308930d0fb1c1e0261e3),tn,hosur,p1,l1,m1,op1,d1,temp,50
ObjectId(5b22308a30d0fb1c1e0261e4),tn,hosur,p1,l1,m1,op1,d1,temp,51
ObjectId(5b22308b30d0fb1c1e0261e5),tn,hosur,p1,l1,m1,op1,d1,temp,52
ObjectId(5b22308c30d0fb1c1e0261e6),tn,hosur,p1,l1,m1,op1,d1,temp,53
ObjectId(5b22308d30d0fb1c1e0261e7),tn,hosur,p1,l1,m1,op1,d1,temp,54
ObjectId(5b22308e30d0fb1c1e0261e8),tn,hosur,p1,l1,m1,op1,d1,temp,55
ObjectId(5b22308f30d0fb1c1e0261e9),tn,hosur,p1,l1,m1,op1,d1,temp,56
ObjectId(5b22309030d0fb1c1e0261ea),tn,hosur,p1,l1,m1,op1,d1,temp,57
ObjectId(5b22309130d0fb1c1e0261eb),tn,hosur,p1,l1,m1,op1,d1,temp,58
ObjectId(5b22309230d0fb1c1e0261ec),tn,hosur,p1,l1,m1,op1,d1,temp,59
ObjectId(5b22309330d0fb1c1e0261ed),tn,hosur,p1,l1,m1,op1,d1,temp,60
ObjectId(5b22309430d0fb1c1e0261ee),tn,hosur,p1,l1,m1,op1,d1,temp,61
ObjectId(5b22309530d0fb1c1e0261ef),tn,hosur,p1,l1,m1,op1,d1,temp,62
ObjectId(5b22309630d0fb1c1e0261f0),tn,hosur,p1,l1,m1,op1,d1,temp,63
ObjectId(5b22309730d0fb1c1e0261f1),tn,hosur,p1,l1,m1,op1,d1,temp,64
ObjectId(5b22309830d0fb1c1e0261f2),tn,hosur,p1,l1,m1,op1,d1,temp,65
ObjectId(5b22309930d0fb1c1e0261f3),tn,hosur,p1,l1,m1,op1,d1,temp,66
ObjectId(5b22309a30d0fb1c1e0261f4),tn,hosur,p1,l1,m1,op1,d1,temp,67
ObjectId(5b22309b30d0fb1c1e0261f5),tn,hosur,p1,l1,m1,op1,d1,temp,68
ObjectId(5b22309c30d0fb1c1e0261f6),tn,hosur,p1,l1,m1,op1,d1,temp,69
ObjectId(5b22309d30d0fb1c1e0261f7),tn,hosur,p1,l1,m1,op1,d1,temp,70
ObjectId(5b22309e30d0fb1c1e0261f8),tn,hosur,p1,l1,m1,op1,d1,temp,71
ObjectId(5b22309f30d0fb1c1e0261f9),tn,hosur,p1,l1,m1,op1,d1,temp,72
ObjectId(5b2230a030d0fb1c1e0261fa),tn,hosur,p1,l1,m1,op1,d1,temp,73
ObjectId(5b2230a130d0fb1c1e0261fb),tn,hosur,p1,l1,m1,op1,d1,temp,74
ObjectId(5b2230a230d0fb1c1e0261fc),tn,hosur,p1,l1,m1,op1,d1,temp,75
ObjectId(5b2230a330d0fb1c1e0261fd),tn,hosur,p1,l1,m1,op1,d1,temp,76
ObjectId(5b2230a430d0fb1c1e0261fe),tn,hosur,p1,l1,m1,op1,d1,temp,77
ObjectId(5b2230a530d0fb1c1e0261ff),tn,hosur,p1,l1,m1,op1,d1,temp,78
ObjectId(5b2230a630d0fb1c1e026200),tn,hosur,p1,l1,m1,op1,d1,temp,79
ObjectId(5b2230a730d0fb1c1e026201),tn,hosur,p1,l1,m1,op1,d1,temp,80
ObjectId(5b2230a830d0fb1c1e026202),tn,hosur,p1,l1,m1,op1,d1,temp,81
ObjectId(5b2230a930d0fb1c1e026203),tn,hosur,p1,l1,m1,op1,d1,temp,82
ObjectId(5b2230aa30d0fb1c1e026204),tn,hosur,p1,l1,m1,op1,d1,temp,83
ObjectId(5b2230ab30d0fb1c1e026205),tn,hosur,p1,l1,m1,op1,d1,temp,84
ObjectId(5b2230ac30d0fb1c1e026206),tn,hosur,p1,l1,m1,op1,d1,temp,85
ObjectId(5b2230ad30d0fb1c1e026207),tn,hosur,p1,l1,m1,op1,d1,temp,86
ObjectId(5b2230ae30d0fb1c1e026208),tn,hosur,p1,l1,m1,op1,d1,temp,87
ObjectId(5b2230af30d0fb1c1e026209),tn,hosur,p1,l1,m1,op1,d1,temp,88
ObjectId(5b2230b030d0fb1c1e02620a),tn,hosur,p1,l1,m1,op1,d1,temp,89
ObjectId(5b2230b130d0fb1c1e02620b),tn,hosur,p1,l1,m1,op1,d1,temp,90
ObjectId(5b2230b230d0fb1c1e02620c),tn,hosur,p1,l1,m1,op1,d1,temp,91
ObjectId(5b2230b330d0fb1c1e02620d),tn,hosur,p1,l1,m1,op1,d1,temp,92
ObjectId(5b2230b430d0fb1c1e02620e),tn,hosur,p1,l1,m1,op1,d1,temp,93
ObjectId(5b2230b530d0fb1c1e02620f),tn,hosur,p1,l1,m1,op1,d1,temp,94
ObjectId(5b2230b630d0fb1c1e026210),tn,hosur,p1,l1,m1,op1,d1,temp,95
ObjectId(5b2230b730d0fb1c1e026211),tn,hosur,p1,l1,m1,op1,d1,temp,96
ObjectId(5b2230b830d0fb1c1e026212),tn,hosur,p1,l1,m1,op1,d1,temp,97
ObjectId(5b2230b930d0fb1c1e026213),tn,hosur,p1,l1,m1,op1,d1,temp,98
ObjectId(5b2230ba30d0fb1c1e026214),tn,hosur,p1,l1,m1,op1,d1,temp,99
ObjectId(5b2230bb30d0fb1c1e026215),tn,hosur,p1,l1,m1,op1,d1,temp,100
ObjectId(5b2230bc30d0fb1c1e026216),tn,hosur,p1,l1,m1,op1,d1,temp,101
ObjectId(5b2230bd30d0fb1c1e026217),tn,hosur,p1,l1,m1,op1,d1,temp,102
ObjectId(5b2230be30d0fb1c1e026218),tn,hosur,p1,l1,m1,op1,d1,temp,103
ObjectId(5b2230bf30d0fb1c1e026219),tn,hosur,p1,l1,m1,op1,d1,temp,104
ObjectId(5b2230c030d0fb1c1e02621a),tn,hosur,p1,l1,m1,op1,d1,temp,105
ObjectId(5b2230c130d0fb1c1e02621b),tn,hosur,p1,l1,m1,op1,d1,temp,106
ObjectId(5b2230c230d0fb1c1e02621c),tn,hosur,p1,l1,m1,op1,d1,temp,107
ObjectId(5b2230c330d0fb1c1e02621d),tn,hosur,p1,l1,m1,op1,d1,temp,108
ObjectId(5b2230c430d0fb1c1e02621e),tn,hosur,p1,l1,m1,op1,d1,temp,109
ObjectId(5b2230c530d0fb1c1e02621f),tn,hosur,p1,l1,m1,op1,d1,temp,110
ObjectId(5b2230c630d0fb1c1e026220),tn,hosur,p1,l1,m1,op1,d1,temp,111
ObjectId(5b2230c730d0fb1c1e026221),tn,hosur,p1,l1,m1,op1,d1,temp,112
ObjectId(5b2230c830d0fb1c1e026222),tn,hosur,p1,l1,m1,op1,d1,temp,113
ObjectId(5b2230c930d0fb1c1e026223),tn,hosur,p1,l1,m1,op1,d1,temp,114
ObjectId(5b2230ca30d0fb1c1e026224),tn,hosur,p1,l1,m1,op1,d1,temp,115
ObjectId(5b2230cb30d0fb1c1e026225),tn,hosur,p1,l1,m1,op1,d1,temp,116
ObjectId(5b2230cc30d0fb1c1e026226),tn,hosur,p1,l1,m1,op1,d1,temp,117
ObjectId(5b2230cd30d0fb1c1e026227),tn,hosur,p1,l1,m1,op1,d1,temp,118
ObjectId(5b2230ce30d0fb1c1e026228),tn,hosur,p1,l1,m1,op1,d1,temp,119
ObjectId(5b2230cf30d0fb1c1e026229),tn,hosur,p1,l1,m1,op1,d1,temp,120
ObjectId(5b2230d030d0fb1c1e02622a),tn,hosur,p1,l1,m1,op1,d1,temp,121
ObjectId(5b2230d130d0fb1c1e02622b),tn,hosur,p1,l1,m1,op1,d1,temp,122
ObjectId(5b2230d230d0fb1c1e02622c),tn,hosur,p1,l1,m1,op1,d1,temp,123
ObjectId(5b2230d330d0fb1c1e02622d),tn,hosur,p1,l1,m1,op1,d1,temp,124
ObjectId(5b2230d430d0fb1c1e02622e),tn,hosur,p1,l1,m1,op1,d1,temp,125
ObjectId(5b2230d530d0fb1c1e02622f),tn,hosur,p1,l1,m1,op1,d1,temp,126
ObjectId(5b2230d630d0fb1c1e026230),tn,hosur,p1,l1,m1,op1,d1,temp,127
ObjectId(5b2230d730d0fb1c1e026231),tn,hosur,p1,l1,m1,op1,d1,temp,128
ObjectId(5b2230d830d0fb1c1e026232),tn,hosur,p1,l1,m1,op1,d1,temp,129
ObjectId(5b2230d930d0fb1c1e026233),tn,hosur,p1,l1,m1,op1,d1,temp,130
ObjectId(5b2230da30d0fb1c1e026234),tn,hosur,p1,l1,m1,op1,d1,temp,131
ObjectId(5b2230db30d0fb1c1e026235),tn,hosur,p1,l1,m1,op1,d1,temp,132
ObjectId(5b2230dc30d0fb1c1e026236),tn,hosur,p1,l1,m1,op1,d1,temp,133
ObjectId(5b2230dd30d0fb1c1e026237),tn,hosur,p1,l1,m1,op1,d1,temp,134
ObjectId(5b2230de30d0fb1c1e026238),tn,hosur,p1,l1,m1,op1,d1,temp,135
ObjectId(5b2230df30d0fb1c1e026239),tn,hosur,p1,l1,m1,op1,d1,temp,136
ObjectId(5b2230e030d0fb1c1e02623a),tn,hosur,p1,l1,m1,op1,d1,temp,137
ObjectId(5b2230e130d0fb1c1e02623b),tn,hosur,p1,l1,m1,op1,d1,temp,138
ObjectId(5b2230e230d0fb1c1e02623c),tn,hosur,p1,l1,m1,op1,d1,temp,139
ObjectId(5b2230e330d0fb1c1e02623d),tn,hosur,p1,l1,m1,op1,d1,temp,140
ObjectId(5b2230e430d0fb1c1e02623e),tn,hosur,p1,l1,m1,op1,d1,temp,141
ObjectId(5b2230e530d0fb1c1e02623f),tn,hosur,p1,l1,m1,op1,d1,temp,142
ObjectId(5b2230e630d0fb1c1e026240),tn,hosur,p1,l1,m1,op1,d1,temp,143
ObjectId(5b2230e730d0fb1c1e026241),tn,hosur,p1,l1,m1,op1,d1,temp,144
ObjectId(5b2230e830d0fb1c1e026242),tn,hosur,p1,l1,m1,op1,d1,temp,145
ObjectId(5b2230e930d0fb1c1e026243),tn,hosur,p1,l1,m1,op1,d1,temp,146
ObjectId(5b2230ea30d0fb1c1e026244),tn,hosur,p1,l1,m1,op1,d1,temp,147
ObjectId(5b2230eb30d0fb1c1e026245),tn,hosur,p1,l1,m1,op1,d1,temp,148
ObjectId(5b2230ec30d0fb1c1e026246),tn,hosur,p1,l1,m1,op1,d1,temp,149
ObjectId(5b2230ed30d0fb1c1e026247),tn,hosur,p1,l1,m1,op1,d1,temp,150
ObjectId(5b2230ee30d0fb1c1e026248),tn,hosur,p1,l1,m1,op1,d1,temp,151
ObjectId(5b2230ef30d0fb1c1e026249),tn,hosur,p1,l1,m1,op1,d1,temp,152
ObjectId(5b2230f030d0fb1c1e02624a),tn,hosur,p1,l1,m1,op1,d1,temp,153
ObjectId(5b2230f130d0fb1c1e02624b),tn,hosur,p1,l1,m1,op1,d1,temp,154
ObjectId(5b2230f230d0fb1c1e02624c),tn,hosur,p1,l1,m1,op1,d1,temp,155
ObjectId(5b2230f330d0fb1c1e02624d),tn,hosur,p1,l1,m1,op1,d1,temp,156
ObjectId(5b2230f430d0fb1c1e02624e),tn,hosur,p1,l1,m1,op1,d1,temp,157
ObjectId(5b2230f530d0fb1c1e02624f),tn,hosur,p1,l1,m1,op1,d1,temp,158
ObjectId(5b2230f630d0fb1c1e026250),tn,hosur,p1,l1,m1,op1,d1,temp,159
ObjectId(5b2230f730d0fb1c1e026251),tn,hosur,p1,l1,m1,op1,d1,temp,160
ObjectId(5b2230f830d0fb1c1e026252),tn,hosur,p1,l1,m1,op1,d1,temp,161
ObjectId(5b2230f930d0fb1c1e026253),tn,hosur,p1,l1,m1,op1,d1,temp,162
ObjectId(5b2230fa30d0fb1c1e026254),tn,hosur,p1,l1,m1,op1,d1,temp,163
ObjectId(5b2230fb30d0fb1c1e026255),tn,hosur,p1,l1,m1,op1,d1,temp,164
ObjectId(5b2230fc30d0fb1c1e026256),tn,hosur,p1,l1,m1,op1,d1,temp,165
ObjectId(5b2230fd30d0fb1c1e026257),tn,hosur,p1,l1,m1,op1,d1,temp,166
ObjectId(5b2230fe30d0fb1c1e026258),tn,hosur,p1,l1,m1,op1,d1,temp,167
ObjectId(5b2230ff30d0fb1c1e026259),tn,hosur,p1,l1,m1,op1,d1,temp,168
