_id,deviceId,unit,line,modelName,operation,guauge,height,diameter,surfaceArea,
ObjectId(5b31f6112941f7068578e8a3),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,1,
ObjectId(5b31f6122941f7068578e8a4),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,2,1
ObjectId(5b31f6132941f7068578e8a5),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,3,1
ObjectId(5b31f6142941f7068578e8a6),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,4,1
ObjectId(5b31f6152941f7068578e8a7),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,5,1
ObjectId(5b31f6152941f7068578e8a8),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,6,1
ObjectId(5b31f6162941f7068578e8a9),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,7,1
ObjectId(5b31f6172941f7068578e8aa),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,8,1
ObjectId(5b31f6182941f7068578e8ab),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,9,1
ObjectId(5b31f6192941f7068578e8ac),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,10,1
ObjectId(5b31f6192941f7068578e8ad),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,11,1
ObjectId(5b31f61a2941f7068578e8ae),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,12,1
ObjectId(5b31f61b2941f7068578e8af),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,13,1
ObjectId(5b31f61c2941f7068578e8b0),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,14,1
ObjectId(5b31f61d2941f7068578e8b1),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,15,1
ObjectId(5b31f61d2941f7068578e8b2),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,16,1
ObjectId(5b31f61e2941f7068578e8b3),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,17,1
ObjectId(5b31f61f2941f7068578e8b4),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,18,1
ObjectId(5b31f6202941f7068578e8b5),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,19,1
ObjectId(5b31f6212941f7068578e8b6),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,20,1
ObjectId(5b31f6212941f7068578e8b7),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,21,1
ObjectId(5b31f6222941f7068578e8b8),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,22,1
ObjectId(5b31f6232941f7068578e8b9),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,23,1
ObjectId(5b31f6242941f7068578e8ba),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,24,1
ObjectId(5b31f6252941f7068578e8bb),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,25,1
ObjectId(5b31f6252941f7068578e8bc),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,26,1
ObjectId(5b31f6262941f7068578e8bd),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,27,1
ObjectId(5b31f6272941f7068578e8be),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,28,1
ObjectId(5b31f6282941f7068578e8bf),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,29,1
ObjectId(5b31f6292941f7068578e8c0),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,30,1
ObjectId(5b31f6292941f7068578e8c1),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,31,1
ObjectId(5b31f62a2941f7068578e8c2),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,32,1
ObjectId(5b31f62b2941f7068578e8c3),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,33,1
ObjectId(5b31f62c2941f7068578e8c4),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,34,1
ObjectId(5b31f62d2941f7068578e8c5),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,35,1
ObjectId(5b31f62d2941f7068578e8c6),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,36,1
ObjectId(5b31f62e2941f7068578e8c7),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,37,1
ObjectId(5b31f62f2941f7068578e8c8),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,38,1
ObjectId(5b31f6302941f7068578e8c9),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,39,1
ObjectId(5b31f6312941f7068578e8ca),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,40,1
ObjectId(5b31f6312941f7068578e8cb),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,41,1
ObjectId(5b31f6322941f7068578e8cc),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,42,1
ObjectId(5b31f6332941f7068578e8cd),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,43,1
ObjectId(5b31f6342941f7068578e8ce),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,44,1
ObjectId(5b31f6352941f7068578e8cf),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,45,1
ObjectId(5b31f6352941f7068578e8d0),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,46,1
ObjectId(5b31f6362941f7068578e8d1),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,47,1
ObjectId(5b31f6372941f7068578e8d2),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,48,1
ObjectId(5b31f6382941f7068578e8d3),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,49,1
ObjectId(5b31f6392941f7068578e8d4),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,50,1
ObjectId(5b31f6392941f7068578e8d5),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,51,1
ObjectId(5b31f63a2941f7068578e8d6),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,52,1
ObjectId(5b31f63b2941f7068578e8d7),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,53,1
ObjectId(5b31f63c2941f7068578e8d8),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,54,1
ObjectId(5b31f63d2941f7068578e8d9),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,55,1
ObjectId(5b31f63d2941f7068578e8da),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,56,1
ObjectId(5b31f63e2941f7068578e8db),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,57,1
ObjectId(5b31f63f2941f7068578e8dc),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,58,1
ObjectId(5b31f6402941f7068578e8dd),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,59,1
ObjectId(5b31f6412941f7068578e8de),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,60,1
ObjectId(5b31f6412941f7068578e8df),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,61,1
ObjectId(5b31f6422941f7068578e8e0),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,62,1
ObjectId(5b31f6432941f7068578e8e1),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,63,1
ObjectId(5b31f6442941f7068578e8e2),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,64,1
ObjectId(5b31f6452941f7068578e8e3),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,65,1
ObjectId(5b31f6452941f7068578e8e4),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,66,1
ObjectId(5b31f6462941f7068578e8e5),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,67,1
ObjectId(5b31f6472941f7068578e8e6),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,68,1
ObjectId(5b31f6482941f7068578e8e7),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,69,1
ObjectId(5b31f6492941f7068578e8e8),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,70,1
ObjectId(5b31f6492941f7068578e8e9),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,71,1
ObjectId(5b31f64a2941f7068578e8ea),f60f6f09c53c47e788ee0955bb7d5331,unit-1,line2,2LtrCooker,heat-treatment,50,550,500,72,1
